name,category,catalog_group,catalog_file,entry_anchor,availability,stat_baseline,cr,size,creature_type,ac,hp,speed,str,dex,con,int,wis,cha,habitat,elyndrian_regions,campaign_status,magical_dependency,dead_zone_behavior,recommended_party_levels,suitable_gate_city,strengths_advantages,weaknesses_disadvantages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,verification,physical_viability,connection_severance,dm_adjudication
Swarm of Ravens,Natural Wildlife/Swarms and Small Vermin,natural_ecology,catalog/natural_ecology/Swarms_and_Small_Vermin.md,swarm-of-ravens,5e and 5.5e,Basic Rules (2014),1/4,Medium swarm,Swarm of Tiny Beasts,12,24,"10 ft., fly 50 ft.",6,14,8,3,12,6,"Hill, wetland, road, ruin",Central roads; Greyfen Moor; battle sites; city outskirts,Natural,None,Functions normally.,1-3,All,Flight; can occupy enemy space; strong Perception,Low Constitution; reduced damage below half HP,None,"Bludgeoning, Piercing, Slashing",None,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",Passive Perception 15,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Swarm of Venomous Snakes,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,swarm-of-venomous-snakes,5e and 5.5e,Basic Rules (2014; Poisonous Snakes),2,Medium swarm,Swarm of Tiny Beasts,14,36,"30 ft., swim 30 ft.",8,18,11,1,10,3,"Swamp, ruin, flooded burrow",Southern wetlands; flooded structures; disturbed nests,Natural,None,Functions normally.,2-4,Faerindel; Ravensport,High AC/Dexterity; occupies enemy spaces; heavy poison damage,Reduced damage below half HP; very poor mental scores,None,"Bludgeoning, Piercing, Slashing",None,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",Blindsight 10 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Tiger,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,tiger,5e and 5.5e,Basic Rules (2014),1,Large,Beast,12,37,40 ft.,17,15,14,3,12,8,"Forest, grassland",Southern forests; wetlands; river valleys,Natural,None,Functions normally.,2-4,Faerindel; Ravensport,Pounce; advantage on smell; excellent Stealth and damage,Low AC and mental scores; depends on ambush,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Twig Blight,Planar and Escaped/Magically Sustained Plants and Blights,planar_and_magical,catalog/planar_and_magical/Magically_Sustained_Plants_and_Blights.md,twig-blight,Both,Monster Manual (2014),1/8,Small,Plant,13,4,20 ft.,6,13,12,4,8,3,Forest,Corrupted groves; planted ambushes; gate contamination sites,Magically animated hostile plant,Extreme,Magical life and animation cease; the creature withers and dies. Exact death timing is set by the DM.,Varies by CR,Faerindel,False Appearance; effective in groups and dense cover,Extremely low HP and mental scores; fire vulnerability,Fire,None,None,None,Blindsight or normal senses as published; verify selected version.,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, awakening, tree-bond, or animating connections are severed immediately.",DM decides death timing and whether a core radius can sustain or restore it.
Umber Hulk,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,umber-hulk,5e and 5.5e,Basic Rules (2014),5,Large,Monstrosity,18,93,"30 ft., burrow 20 ft.",20,13,16,9,10,10,Underground,Western mines; Deepanvil depths; Northern tunnels,Rare subterranean threat,Moderate,Confusing Gaze is suppressed; physical attacks and tunneling remain.,5-7,Ironforge,High AC/Strength; Confusing Gaze outside dead zones; Tunneler; darkvision/tremorsense,No ranged attack; gaze can be avoided by looking away; reduced in dead zones,None,None,None,None,Darkvision 120 ft.; Tremorsense 60 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Venomous Snake,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,venomous-snake,5e and 5.5e,Basic Rules (2014; Poisonous Snake),1/8,Tiny,Beast,13,2,"30 ft., swim 30 ft.",2,16,11,1,10,3,"Forest, grassland, swamp",Southern plains; rivers; wetlands; rocky hills,Natural,None,Functions normally.,1-2 as hazard,Faerindel; Ravensport,High Dexterity; swim speed; venom,Only 2 HP; negligible Strength,None,None,None,None,Blindsight 10 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Vine Blight,Planar and Escaped/Magically Sustained Plants and Blights,planar_and_magical,catalog/planar_and_magical/Magically_Sustained_Plants_and_Blights.md,vine-blight,Both,Monster Manual (2014),1/2,Medium,Plant,12,26,10 ft.,15,8,14,5,10,3,"Forest, swamp",Dense forest; quarantine gardens; estates; ritual sites,Magically animated hostile plant,Extreme,Magical life and animation cease; the creature withers and dies. Exact death timing is set by the DM.,Varies by CR,Faerindel,Restraining vines; False Appearance; controls confined terrain,Very slow; poor Dexterity and mental scores; fire vulnerability,Fire,None,None,None,Blindsight or normal senses as published; verify selected version.,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, awakening, tree-bond, or animating connections are severed immediately.",DM decides death timing and whether a core radius can sustain or restore it.
Violet Fungus,"Natural Ecology/Physical Fungi, Myconids, and Predatory Plants",natural_ecology,catalog/natural_ecology/Physical_Fungi_Myconids_and_Predatory_Plants.md,violet-fungus,5e and 5.5e,Basic Rules (2014),1/4,Medium,Plant,5,18,5 ft.,3,1,10,1,3,1,"Underground, damp ruin",Deepanvil caverns; mines; damp ruins; sewers,Natural fungal predator,None,Functions normally; decay is treated as biological.,1-3 in clusters,Ironforge; Deepanvil,False Appearance; multiple rotting touches; blindsight,"Very low AC, speed, and ability scores",None,None,None,"Blinded, Deafened, Frightened",Blindsight 30 ft. (blind beyond); Passive Perception 6,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Vrock,Planar and Escaped/Severe Gate Incursions,gate_incursions,catalog/gate_incursions/Severe_Gate_Incursions.md,vrock,5e and 5.5e,Basic Rules (2014),6,Large,Fiend (Demon),15,104,"40 ft., fly 60 ft.",17,15,18,8,13,8,Abyss,Aerial containment crisis; deliberate assault,Planar,High,Magic Resistance and supernatural screech are suppressed; physical flight/attacks and biological spores remain under proposed ruling.,6-8,Ravensport; Ironforge,Flight; Spores; Stunning Screech; Magic Resistance advantage; broad defenses,Poor Intelligence/Charisma; large target; fiendish drain,None,"Cold, Fire, Lightning; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,Poisoned,Darkvision 120 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Water Elemental,Planar and Escaped/Major Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Major_Elemental_Gate_Creatures.md,water-elemental,5e and 5.5e,Basic Rules (2014),5,Large,Elemental,14,114,"30 ft., swim 90 ft.",18,14,18,5,10,8,Elemental planes,Major gate chambers; industrial or environmental breach,Severe planar elemental,Extreme,Magical body collapses into ordinary water; exact timing is set by the DM.,5-8,All,Whelm; very high swim speed; strong physical body; Freeze interaction,Slow on land; cold can freeze it; collapses in dead zones,None,"Acid; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and core-radius interaction.
Water Weird,Planar and Escaped/Intelligent Aquatic and Magical Water Threats,planar_and_magical,catalog/planar_and_magical/Intelligent_Aquatic_and_Magical_Water_Threats.md,water-weird,5e and 5.5e,Monster Manual (2014),3,Large,Elemental,13,58,"0 ft., swim 60 ft.",17,16,13,11,10,10,"Bound water, elemental pools",Gate reservoirs; protected fountains; research tanks; sabotaged water systems,"Planar, summoned, or contained",Extreme,Collapses into ordinary water outside a functioning magical field.,3-5,All,Invisible while immersed; constricting grapple; fast swim movement,Cannot leave water; dead zones destroy its creature form,None,"Fire; Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Blindsight 30 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Binding, summoning, and creator connections are severed immediately.",DM decides exact collapse timing and core-radius interaction.
Winter Wolf,Natural Wildlife/Cold-Region Predators,natural_ecology,catalog/natural_ecology/Cold_Region_Predators.md,winter-wolf,5e and 5.5e,Basic Rules (2014),3,Large,Monstrosity,13,75,50 ft.,18,13,14,7,12,8,"Arctic, mountain",Northern Mountains; gate-adjacent snow valleys,Planar or old gate-established,Moderate,Cold Breath and supernatural cold are suppressed; physical bite and pack behavior remain.,3-5,Ironforge,Pack Tactics; cold immunity; breath weapon; advantage on hearing/smell Perception,Weak mental saves; substantially reduced in dead zones,None,None,Cold,None,Passive Perception 15,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Wolf,Natural Wildlife/Wolves and Large Predators,natural_ecology,catalog/natural_ecology/Wolves_and_Large_Predators.md,wolf,5e and 5.5e,Basic Rules (2014),1/4,Medium,Beast,13,11,40 ft.,12,15,12,3,12,6,"Forest, grassland, hill",Central Forest Belt; southern plains; eastern riverlands; northern foothills,Natural,None,Functions normally.,1-3 in packs,All,Pack Tactics; advantage on hearing/smell Perception checks; fast pack hunter,Low Intelligence and Charisma; weak alone; modest AC and HP,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Wood Woad,Planar and Escaped/Magically Sustained Plants and Blights,planar_and_magical,catalog/planar_and_magical/Magically_Sustained_Plants_and_Blights.md,wood-woad,5e,Mordenkainen Presents: Monsters of the Multiverse,5,Medium,Plant,18,75,"30 ft., climb 30 ft.",18,12,16,10,13,8,Forest,Sacred groves; magically created forest defense,Magically created plant guardian,Extreme,Magical life and animation cease; the creature withers and dies. Exact death timing is set by the DM.,Varies by CR,Faerindel,High AC; regeneration while grounded; Tree Stride; strong guardian,Fire disrupts regeneration; magically sustained and dies in dead zones,Fire,"Bludgeoning, Piercing from nonmagical attacks",None,None,Blindsight or normal senses as published; verify selected version.,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, awakening, tree-bond, or animating connections are severed immediately.",DM decides death timing and whether a core radius can sustain or restore it.
Xorn,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,xorn,5e and 5.5e,Basic Rules (2014),5,Medium,Elemental,19,73,"20 ft., burrow 20 ft.",17,10,22,11,10,11,"Elemental Earth, underground",Mineral-feeding breach; ore-analysis escape; Ironforge storage,Planar or escaped,High,"Magical elemental body loses cohesion and dies, dissipates, or becomes inert matter; exact timing is set by the DM.",5-7,Ironforge,High AC/Constitution; Earth Glide; Stone Camouflage advantage; Treasure Sense,Slow above ground; planar drain in dead zones; food motivation can be exploited,None,Piercing and Slashing from nonmagical attacks not made with adamantine,None,None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 16,Verified planning baseline,Not self-sustaining in a dead zone,"Any summoner, master, or planar command link is severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Yeth Hound,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,yeth-hound,5e,Volo’s Guide to Monsters,4,Large,Fey,14,51,"40 ft., fly 40 ft. (hover)",18,17,16,5,12,7,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",High,"Supernatural flight, baying, and banishment effects fail; physical body, bite, speed, and senses remain.",4-6,Faerindel,Flight; fear-inducing bay; strong bite; sunlight banishment; telepathic bond,No physical wings; falls when magic ends; low Intelligence and Charisma,None,"Bludgeoning, Piercing, Slashing from nonmagical attacks not silvered",None,"Charmed, Exhaustion, Frightened",Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,Telepathic master or pack bond is severed immediately.,DM determines duration and secondary consequences.
Yeti,Natural Wildlife/Cold-Region Predators,natural_ecology,catalog/natural_ecology/Cold_Region_Predators.md,yeti,5e and 5.5e,Monster Manual (2014),3,Large,Monstrosity,12,51,"40 ft., climb 40 ft.",18,13,16,8,12,7,"Arctic, mountain",Northern Mountains; ice caves; abandoned passes,Rare natural magical species,Moderate,Chilling Gaze and magical cold are suppressed; climbing and claws remain.,3-5,Ironforge,Cold immunity; snow camouflage grants Stealth advantage; Chilling Gaze; climb speed,Fear of Fire imposes disadvantage on attacks/checks until next turn after fire damage; low AC,None,None,Cold,None,Darkvision 60 ft.; Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Young Kruthik,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,young-kruthik,5e,Mordenkainen Presents: Monsters of the Multiverse,1/8,Small,Monstrosity,16,9,"30 ft., burrow 10 ft., climb 30 ft.",13,16,13,4,12,4,"Desert, underground","New infestations in cargo, tunnels, or storage",Planar invasive,None,Functions normally.,1-3 in groups,Ravensport; Ironforge,High AC; Pack Tactics; Tunneler; darkvision and tremorsense,Low HP and mental scores; avoids areas containing many dead kruthiks,None,None,None,None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 11,Supplement baseline; verify owned D&D Beyond version before live play,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Young Remorhaz,Natural Wildlife/Cold-Region Predators,natural_ecology,catalog/natural_ecology/Cold_Region_Predators.md,young-remorhaz,5e and 5.5e,Monster Manual (2014),5,Large,Monstrosity,14,93,"30 ft., burrow 20 ft.",18,13,17,3,10,4,Arctic,Northern snowfields; geothermal valleys; alpine routes,"Natural, very rare",None under biological-heat ruling,Functions normally under proposed biological-heat ruling.,5-7,Ironforge,Fire and cold immunity; Heated Body; burrowing; tremorsense,Low Intelligence and Charisma; no ranged attack,None,None,"Cold, Fire",None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
